MJ文字図形名	実装したUCS	実装したMoji_JohoコレクションIVS	実装したSVS	対応するUCS	部首1(参考)	内画数1(参考)	総画数(参考)	読み(参考)	備考
MJ000001	U+3005			U+3005	3	2	3	おなじ・くりかえし・のま	
MJ000002	U+3006			U+3006	4	1	2	しめ	
MJ000003	U+303B			U+303B	3	1	2		
MJ000004	U+3400			U+3400	1	4	5	キュウ・おか	
MJ000005	U+3401			U+3401	1	5	6	テン	
MJ000006	U+3402			U+3402	1	5	6	キ・よろこぶ	
MJ000007		3404_E0101		U+3404	2	2	3	カ・ケ・クワ	
MJ000008		3404_E0100		U+3404	2	3	4	カ・ケ	
MJ000009	U+3405			U+3405	4	1	2	ゴ	
MJ000010	U+3406			U+3406	4	5	6		
MJ000011	U+340C			U+340C	5	4	5	イ	
MJ000012	U+2CF1C			U+2CF1C	5	4	5	イ・ショク	
MJ000013	U+3416			U+3416	5	6	7	ケツ・ゲチ	
MJ000015	U+341C			U+341C	5	8	9	キュウ・グ	
MJ000016	U+3421			U+3421	5	10	11	ジュ	
MJ000017	U+3424			U+3424	5	11	12	タン・キュウ	
MJ000018	U+3427			U+3427	2	3	4	ダイ・テイ・ただ・ついで・やしき	
MJ000020	U+3428			U+3428	6	7	8	ショ・ジョ	
MJ000021	U+3429			U+3429	55	5	8	キョウ・ゴ	
MJ000022	U+342A	342A_E0103		U+342A	8	4	6	ガイ・い	
MJ000023		342A_E0101		U+342A	8	3	5	ガイ・い	
MJ000025	U+342C	342C_E0101		U+342C	8	5	7	リュウ・ル・コウ・トツ	
MJ000026	U+342D			U+342D	8	6	8	リン・くら	
MJ000027	U+342E	342E_E0101		U+342E	8	11	13	ジョウ・ショウ・ソウ	
MJ000028		342E_E0102		U+342E	8	11	13	ジョウ・はらう	
MJ000029		342E_E0103		U+342E	8	11	13	ジョウ・ショウ・はらう・わりこむ・のぼる・たかい・ゆずる	
MJ000030	U+342F			U+342F	8	15	17	ヨウ・あげる	
MJ000031	U+3430			U+3430	9	3	5	シン	
MJ000032	U+3431			U+3431	9	3	5	シン	
MJ000033	U+3432			U+3432	9	3	5	フク・タイ・ダイ・ふせる・ふす	
MJ000034	U+3433			U+3433	9	3	5	ゴツ	
MJ000035	U+3434			U+3434	9	3	5	ハン	
MJ000036	U+3436	3436_E0100		U+3436	9	3	5		
MJ000037		3436_E0101		U+3436	9	3	5		
MJ000038	U+3438			U+3438	9	4	6	ケン	
MJ000039	U+3439			U+3439	9	4	6	キツ	
MJ000040	U+343A			U+343A	9	4	6	ギン・シュウ	
MJ000041	U+343B			U+343B	9	4	6	ダイ・ネ	
MJ000042	U+343C			U+343C	9	4	6	ショウ	
MJ000045		3441_E0100		U+3441	9	5	7	シュツ・シュチ・チュツ・チュチ	
MJ000046	U+3441	3441_E0101		U+3441	9	5	7	チュツ	
MJ000047		3442_E0100		U+3442	9	5	7	ホウ	
MJ000048	U+3442	3442_E0101		U+3442	9	5	7	ホウ・さまよう・にる	
MJ000049	U+3443			U+3443	9	5	7	オウ	
MJ000050	U+3444			U+3444	9	5	7	ブ	
MJ000051	U+3445			U+3445	9	5	7	サク	
MJ000052	U+3446			U+3446	9	5	7		
MJ000053	U+3449			U+3449	9	6	8	シュク	
MJ000054	U+344A			U+344A	9	6	8	エキ・ヤク	
MJ000055	U+344B			U+344B	9	6	8	キュウ・ク	
MJ000056	U+344C			U+344C	9	6	8	オウ	
MJ000057	U+344D			U+344D	9	6	8	ライ・レ	
MJ000059	U+344E			U+344E	9	6	8	ドウ・ノウ	
MJ000060	U+3450			U+3450	9	6	8	シュク	
MJ000061	U+3451			U+3451	9	6	8	サン	
MJ000062	U+3452			U+3452	9	6	8	セン・みな	
MJ000063	U+3453			U+3453	9	6	8	シュン・すぐれる	
MJ000064	U+3457			U+3457	9	7	9	シン	
MJ000065	U+3458			U+3458	9	7	9	カイ	
MJ000066	U+3459			U+3459	9	7	9	チョウ	
MJ000067	U+345A			U+345A	9	7	9	ダ	
MJ000068	U+345B			U+345B	9	7	9	ソク・ショク	
MJ000069	U+345C			U+345C	9	7	9	テイ・エイ・セツ・セチ	
MJ000070	U+345E			U+345E	9	7	9	ヨウ	
MJ000071	U+345F			U+345F	9	7	9	ホウ・ヒョウ	
MJ000072	U+3463			U+3463	9	8	10	ラン	
MJ000073		3464_E0101		U+3464	9	9	11	ボウ	
MJ000074	U+3464	3464_E0100		U+3464	9	8	10	ボウ	
MJ000075	U+3465			U+3465	9	8	10	イ・シ	
MJ000076	U+3466			U+3466	9	8	10	レイ・ライ	
MJ000077	U+3467			U+3467	9	8	10	キ・おそれる	
MJ000078	U+3468			U+3468	9	8	10	また	
MJ000079	U+346A			U+346A	9	8	10	サイ・ザイ・セイ	
MJ000080	U+346E			U+346E	9	9	11	コン・ゴン	
MJ000081	U+346F			U+346F	9	9	11	シュ	
MJ000082	U+3471			U+3471	9	9	11	ショウ	
MJ000083	U+3473			U+3473	9	10	12	シュウ・シュ・ス・ドウ・ノウ	
MJ000084	U+3474			U+3474	9	10	12	シン	
MJ000085	U+3475			U+3475	9	10	12	シツ・ねたむ	
MJ000086	U+3476			U+3476	9	10	12	キ・ケ	
MJ000087	U+3477			U+3477	9	10	12	タイ	
MJ000088	U+3478			U+3478	9	10	12	ヨウ	
MJ000089	U+3479	3479_E0100		U+3479	9	10	12	カイ・エ・あう	
MJ000090	U+347B			U+347B	9	11	13	バツ・マチ	
MJ000091	U+347C			U+347C	9	11	13	リャク	
MJ000092	U+347D			U+347D	9	11	13	トウ	
MJ000093	U+347E			U+347E	9	11	13	ヨウ	
MJ000094	U+347F			U+347F	9	11	13	ソウ・ジョウ	
MJ000095	U+3480			U+3480	9	11	13	タク・チャク・タ・チャ	
MJ000096	U+3481			U+3481	9	11	13	グ	
MJ000097	U+3482			U+3482	9	13	15	チャク	
MJ000098	U+3483			U+3483	9	12	14	ジ	
MJ000099	U+3484			U+3484	9	12	14	ゼン・ネン・セン	
MJ000100	U+3485			U+3485	9	12	14	ケイ	
MJ000101	U+3486			U+3486	9	12	14	キュウ	
MJ000102	U+3487			U+3487	9	12	14	ブ	
MJ000103	U+3488			U+3488	9	12	14	カン	
MJ000104	U+3489			U+3489	9	12	14	ショウ	
MJ000105	U+348A	348A_E0101		U+348A	9	14	16	シュウ	
MJ000106		348A_E0100		U+348A	9	14	16	シュウ	
MJ000107	U+348B			U+348B	9	12	14	シ	
MJ000108	U+348C			U+348C	9	12	14	ケイ	
MJ000109	U+348D			U+348D	9	12	14	ルイ	
MJ000110	U+348E			U+348E	9	12	14	ソウ	
MJ000111	U+3491			U+3491	9	13	15	カイ・エ	
MJ000112	U+3492			U+3492	9	13	15	ボク・しもべ	
MJ000113	U+3493			U+3493	9	13	15	タツ・タチ	
MJ000114	U+3494			U+3494	9	13	15	トク・ドク・ショク・ゾク	
MJ000115	U+3495			U+3495	9	13	15	オウ	
MJ000116	U+3496			U+3496	9	13	15	ゴウ	
MJ000117	U+3499			U+3499	9	14	16	ベン・メン	
MJ000118	U+349A			U+349A	9	14	16	イン・オン	
MJ000119	U+349B			U+349B	9	14	16	チョウ・ジョウ	
MJ000120	U+349C			U+349C	9	14	16	ヨ	
MJ000121	U+349D			U+349D	9	15	17	ベツ・メチ・バツ・マチ	
MJ000122	U+349E			U+349E	9	16	18	シュン・すぐれる	
MJ000123	U+349F			U+349F	9	16	18	ジョウ・ニョウ	
MJ000124	U+34A0			U+34A0	9	16	18	カイ・ガイ	
MJ000125	U+34A1			U+34A1	9	17	19	ユウ・ユ	
MJ000126	U+34A4			U+34A4	9	18	20	ショウ	
MJ000127	U+34A5			U+34A5	9	18	20	フウ・フ	
MJ000128	U+34A6			U+34A6	9	18	20	ルイ・ライ	
MJ000129	U+34A7	34A7_E0100		U+34A7	9	19	21	レイ	
MJ000130		34A7_E0101		U+34A7	9	19	21	レイ	
MJ000131	U+34A8			U+34A8	9	19	21	セン	
MJ000132	U+34A9			U+34A9	9	21	23	ラ	
MJ000133	U+34AA			U+34AA	9	22	24	セキ	
MJ000134	U+34AB			U+34AB	10	4	6	キ	
MJ000135	U+34AD			U+34AD	10	8	10	コン	
MJ000136	U+34AF			U+34AF	10	16	18	ヨウ	
MJ000137	U+34B0			U+34B0	11	3	5	ゼン・セン・まったく	
MJ000138	U+34B2			U+34B2	11	4	6	サイ・くれる	
