MJ文字図形名	対応UCS	読み
MJ000007	U+3404	カ・ケ・クワ
MJ000008	U+3404	カ・ケ
MJ000023	U+342A	ガイ・い
MJ000028	U+342E	ジョウ・はらう
MJ000029	U+342E	ジョウ・ショウ・はらう・わりこむ・のぼる・たかい・ゆずる
MJ000037	U+3436	
MJ000045	U+3441	シュツ・シュチ・チュツ・チュチ
MJ000047	U+3442	ホウ
MJ000073	U+3464	ボウ
MJ000106	U+348A	シュウ
MJ000130	U+34A7	レイ
MJ000143	U+34B8	スイ・ズイ
MJ000146	U+34B9	テン
MJ000157	U+34C3	タ・ツ・テ・ト・おく
MJ000176	U+34D7	ケツ
MJ000183	U+34DE	カツ・カチ・ケイ
MJ000184	U+34DE	カツ・ケイ
MJ000207	U+34F5	ガク
MJ000209	U+34F6	ケツ・ケチ・きざむ
MJ000241	U+351C	ホツ
MJ000264	U+3530	コウ
MJ000267	U+3531	ユ・くら
MJ000270	U+3534	ヨク・ヨキ
MJ000277	U+353A	セイ・セ・よ
MJ000278	U+353A	セイ・セ・よ
MJ000302	U+3553	テン・デン
MJ000309	U+355B	ユウ
MJ000311	U+355C	シ・ふみ
MJ000318	U+3561	カク・ガク
MJ000333	U+356F	セツ・トツ・ドツ・ナチ・どもる
MJ000380	U+35B6	エツ
MJ000406	U+35D4	ケン
MJ000409	U+35D6	タン・ダン・くう・くらわす
MJ000432	U+35F4	ガン・ゲン
MJ000436	U+35FB	カ
MJ000463	U+361D	ジュ・シュウ・とらえる
MJ000486	U+3634	ザ・すわる・そぞろに・おわす
MJ000500	U+3644	ヒ・ビ・ヘイ・ベイ・きざはし
MJ000520	U+365B	ホ・フ
MJ000557	U+3687	ソウ・ス・バン・マン
MJ000559	U+3689	コ・ク
MJ000567	U+3691	レイ
MJ000583	U+36A2	ブ
MJ000649	U+36EE	ソウ・あによめ
MJ000661	U+36FA	むかいめ
MJ000664	U+36FC	ソウ
MJ000712	U+3732	エイ・ヨウ
MJ000778	U+3778	ヘン・ベン
MJ000835	U+37B7	コウ・オウ
MJ000860	U+37D0	ボウ・モウ
MJ000874	U+37DF	
MJ000880	U+37E7	ガク
MJ000911	U+3809	トウ・ズ
MJ000923	U+3815	イ
MJ000927	U+3817	オウ
MJ000944	U+382F	イ
MJ000946	U+382F	イ
MJ000974	U+384C	ボウ
MJ000989	U+385B	コウ
MJ000997	U+3862	マン・バン・まく
MJ001008	U+386D	ケイ・つぐ
MJ001058	U+38A2	ヘイ
MJ001060	U+38A3	ケイ・ささげる
MJ001076	U+38B4	サイ・シ・セイ・ヤク・にし
MJ001093	U+38C7	イ
MJ001132	U+38FA	シン
MJ001135	U+38FC	ジン
MJ001145	U+3905	アイ・エ・キ・いつくしみ・いつくしむ・いとしい・おしむ・かなしい・めでる
MJ001165	U+3917	タイ
MJ001198	U+393A	コウ・あわてる
MJ001248	U+396F	イン・オン
MJ001251	U+3971	ヒ
MJ001297	U+39A2	セツ・セチ
MJ001314	U+39AE	セン・ゼン・ぜに
MJ001322	U+39B6	ヨウ・ユ
MJ001357	U+39DE	バツ・ぬく・ぬける・ぬかす・ぬかる
MJ001408	U+3A17	ショウ・かつ
MJ001430	U+3A2F	オウ・カク・コウ・ひろがる・ひろげる・ひろめる
MJ001447	U+3A3F	ギャク・キョ・ケキ・コ・よる
MJ001486	U+3A6E	ケン・コン・キョ
MJ001537	U+3AA4	ヒツ・ヒチ・ヒ
MJ001588	U+3AE0	
MJ001594	U+3AE6	トウ
MJ001608	U+3AF4	コウ
MJ001612	U+3AF7	キ
MJ001628	U+3B08	オン
MJ001630	U+3B0A	カン・ガン
MJ001650	U+3B1D	ソウ・ゾウ・くらい
MJ001658	U+3B26	カク・ワク
MJ001660	U+3B27	ハク
MJ001662	U+3B27	サン
MJ001682	U+3B3C	ホク
MJ001727	U+3B74	かし
MJ001730	U+3B78	ト・タ・ユ・ひさぎ
MJ001791	U+3BB5	セン
MJ001796	U+3BB8	ソウ・くさび・かすがい
MJ001840	U+3BEC	レン
MJ001849	U+3BF3	ケイ・ゆだめ
MJ001854	U+3BFE	ソウ
MJ001862	U+3C05	テキ・タク
MJ001871	U+3C0D	ロウ・ル・おり
MJ001937	U+3C4E	コン
MJ001991	U+3C8A	エイ
MJ002064	U+3CDF	キョウ・うやうやしい
MJ002066	U+3CDF	キョウ・タイ・やすい
MJ002068	U+3CE4	シュク・よい
MJ002094	U+3D00	ハン・ホン
MJ002099	U+3D04	オウ・ケイ・キョウ
MJ002118	U+3D1B	チ
MJ002122	U+3D1E	トウ・はびこる
MJ002140	U+3D31	シン・ふかい
MJ002176	U+3D5D	エイ
MJ002188	U+3D67	カツ・カチ・エイ・アイ
MJ002214	U+3D7E	セイ・ショウ・ひややか・きよい
MJ002216	U+3D80	コウ・キョウ
MJ002230	U+3D93	ソウ・ゾウ
MJ002268	U+3DC0	ケイ
MJ002286	U+3DD4	エン・ほのお
MJ002293	U+3DDF	タイ・テ
MJ002305	U+3DED	ホウ・のろし
MJ002324	U+3E02	スイ・のろし
MJ002336	U+3E0F	ビ・ミ
MJ002375	U+3E37	セイ・ゼイ
MJ002448	U+3E83	コウ
MJ002468	U+3E9A	タツ・ダツ・かわうそ
MJ002550	U+3F0B	コ・ク・ジョ・ニョ
MJ002568	U+3F1B	ケイ
MJ002722	U+3FC2	チョウ
MJ002731	U+3FCA	セン・シン
MJ002749	U+3FDF	ハク・ビャク・キョウ
MJ002781	U+3FFC	ゲン
MJ002808	U+4018	ケイ・エ
MJ002855	U+4048	ケイ・キ・ト・ツ
MJ002864	U+404F	ヨウ
MJ002866	U+4050	エイ・ヨウ
MJ002911	U+407E	ベツ
MJ002934	U+4096	セキ・シャク・コク・いし
MJ002935	U+4096	セキ
MJ002961	U+40AE	リャク
MJ002985	U+40CD	タイ・デ・ツイ・ズイ・チュツ・ジュチ
MJ003031	U+40FD	キ・シ・さいわい
MJ003033	U+40FE	ヒ・ビ
MJ003039	U+4102	リュウ
MJ003040	U+4103	オウ
MJ003043	U+4104	イン
MJ003044	U+4105	ケン
MJ003048	U+4107	テイ・ジョウ
MJ003050	U+4107	テイ
MJ003057	U+410D	サ・ジャ
MJ003060	U+410F	ヨウ
MJ003063	U+4112	ジン
MJ003078	U+4120	セン・ゼン
MJ003087	U+412A	チョウ・テキ・チャク
MJ003094	U+412F	ケン
MJ003113	U+4146	シ
MJ003116	U+4148	イン
MJ003146	U+4165	ケツ・コチ・カチ・ケチ・カツ
MJ003178	U+4183	トウ・ドウ
MJ003191	U+4192	キュウ・ク・きわめる・きわまる
MJ003225	U+41B3	スイ
MJ003257	U+41D2	カイ
MJ003289	U+41F1	ドウ
MJ003345	U+4227	エ
MJ003348	U+422A	ケキ・キャク
MJ003425	U+4275	セン・ゼン
MJ003497	U+42B8	ウ
MJ003510	U+42C6	かせ
MJ003541	U+42E3	ハン・ボン・バン・ハ・バ・しげる
MJ003572	U+4301	ヨウ
MJ003589	U+4313	ハン
MJ003624	U+4334	ラ
MJ003628	U+4343	ユウ・ユ・ヨウ
MJ003650	U+4359	バイ
MJ003729	U+43A9	シ
MJ003763	U+43CA	ロウ・ル
MJ003776	U+43D5	ジン・ニン
MJ003782	U+43D9	テン・デン
MJ003791	U+43E2	ソ
MJ003806	U+43F0	ジン・ニン・ジュン
MJ003833	U+440B	ソウ・ス
MJ003835	U+440C	テン
MJ003928	U+446B	ホウ
MJ003966	U+4494	ハイ
MJ003981	U+44A2	ゴウ・ギョウ
MJ003990	U+44A9	カ・ワ
MJ003993	U+44AB	タイ・ダイ
MJ003998	U+44B1	ジョウ
MJ004001	U+44B3	タ
MJ004005	U+44B6	テン
MJ004008	U+44B9	ライ・レ・ルイ
MJ004009	U+44B9	ライ・レ・ルイ
MJ004011	U+44B9	ライ・レ・ルイ・たがやす
MJ004019	U+44BE	イ
MJ004020	U+44C1	トウ・タイ・ひとしい
MJ004035	U+44CC	シ
MJ004040	U+44D0	シュン・ジュン
MJ004044	U+44D3	ゼン
MJ004046	U+44D4	こも
MJ004065	U+44E6	テン
MJ004073	U+44F2	エイ・エツ・エチ
MJ004078	U+44F5	フ
MJ004085	U+44FA	ビ
MJ004098	U+4506	リ
MJ004101	U+4508	コウ・ク
MJ004104	U+450A	ホウ・ヒョウ
MJ004109	U+450F	シュウ・シュ
MJ004132	U+4524	ハ・ヘ
MJ004134	U+4525	シュク・ショウ・よもぎ
MJ004149	U+4535	カン
MJ004156	U+453B	トン・タイ・テ
MJ004158	U+453C	シュウ
MJ004167	U+4543	イン・かげ
MJ004176	U+454C	チ
MJ004178	U+454C	ジ・チ・テイ・いとけない
MJ004196	U+455E	ロウ
MJ004198	U+455E	ロウ
MJ004221	U+4572	リン
MJ004225	U+4576	ゴ・まもる
MJ004231	U+457A	ソウ・ズ
MJ004236	U+457E	ゲン・ゴン・ギン
MJ004245	U+4587	ウツ・ウチ
MJ004252	U+458D	ケン・つつしむ
MJ004256	U+458E	
MJ004277	U+459D	キ
MJ004280	U+459F	ボウ・ミョウ・あぶ
MJ004320	U+45C8	ボウ・ミョウ・あぶ
MJ004327	U+45CE	まてがい
MJ004336	U+45D7	ケイ
MJ004351	U+45E6	ホウ・はち
MJ004388	U+460D	タイ・タツ
MJ004427	U+4638	セキ・シャク・エキ・ヤク
MJ004458	U+465C	ホウ・ぬう
MJ004460	U+465D	セツ・セチ・ダイ・ナイ・ふだんぎ
MJ004480	U+4670	リ
MJ004482	U+4672	セン
MJ004486	U+4674	セン・のぼる
MJ004487	U+4674	セン
MJ004539	U+46AC	リン
MJ004545	U+46B0	ヒ
MJ004628	U+4704	チ・ジ
MJ004648	U+471A	トウ
