Radical_ID	Kangxi_Char	Kangxi_UCS	Notes
1	⼀	U+2F00	CJK部首補助との対応はアプリケーション層で定義
2	⼁	U+2F01	CJK部首補助との対応はアプリケーション層で定義
3	⼂	U+2F02	CJK部首補助との対応はアプリケーション層で定義
4	⼃	U+2F03	CJK部首補助との対応はアプリケーション層で定義
5	⼄	U+2F04	CJK部首補助との対応はアプリケーション層で定義
6	⼅	U+2F05	CJK部首補助との対応はアプリケーション層で定義
7	⼆	U+2F06	CJK部首補助との対応はアプリケーション層で定義
8	⼇	U+2F07	CJK部首補助との対応はアプリケーション層で定義
9	⼈	U+2F08	CJK部首補助との対応はアプリケーション層で定義
10	⼉	U+2F09	CJK部首補助との対応はアプリケーション層で定義
11	⼊	U+2F0A	CJK部首補助との対応はアプリケーション層で定義
12	⼋	U+2F0B	CJK部首補助との対応はアプリケーション層で定義
13	⼌	U+2F0C	CJK部首補助との対応はアプリケーション層で定義
14	⼍	U+2F0D	CJK部首補助との対応はアプリケーション層で定義
15	⼎	U+2F0E	CJK部首補助との対応はアプリケーション層で定義
16	⼏	U+2F0F	CJK部首補助との対応はアプリケーション層で定義
17	⼐	U+2F10	CJK部首補助との対応はアプリケーション層で定義
18	⼑	U+2F11	CJK部首補助との対応はアプリケーション層で定義
19	⼒	U+2F12	CJK部首補助との対応はアプリケーション層で定義
20	⼓	U+2F13	CJK部首補助との対応はアプリケーション層で定義
21	⼔	U+2F14	CJK部首補助との対応はアプリケーション層で定義
22	⼕	U+2F15	CJK部首補助との対応はアプリケーション層で定義
23	⼖	U+2F16	CJK部首補助との対応はアプリケーション層で定義
24	⼗	U+2F17	CJK部首補助との対応はアプリケーション層で定義
25	⼘	U+2F18	CJK部首補助との対応はアプリケーション層で定義
26	⼙	U+2F19	CJK部首補助との対応はアプリケーション層で定義
27	⼚	U+2F1A	CJK部首補助との対応はアプリケーション層で定義
28	⼛	U+2F1B	CJK部首補助との対応はアプリケーション層で定義
29	⼜	U+2F1C	CJK部首補助との対応はアプリケーション層で定義
30	⼝	U+2F1D	CJK部首補助との対応はアプリケーション層で定義
31	⼞	U+2F1E	CJK部首補助との対応はアプリケーション層で定義
32	⼟	U+2F1F	CJK部首補助との対応はアプリケーション層で定義
33	⼠	U+2F20	CJK部首補助との対応はアプリケーション層で定義
