康熙部首番号,康熙部首文字,康熙部首コード,仲介常用漢字,常用漢字コード,CJK部首補助,CJK部首補助コード
1,⼀,U+2F00,一,U+4E00,,N/A
2,⼁,U+2F01,丨,U+4E28,,N/A
3,⼂,U+2F02,丶,U+4E36,,N/A
4,⼃,U+2F03,丿,U+4E3F,,N/A
5,⼄,U+2F04,乙,U+4E59,⺄,U+2E84
6,⼅,U+2F05,亅,U+4E85,,N/A
7,⼆,U+2F06,二,U+4E8C,,N/A
8,⼇,U+2F07,亠,U+4EA0,,N/A
9,⼈,U+2F08,亻,U+4EBB,⺅,U+2E85
10,⼉,U+2F09,儿,U+513F,,N/A
11,⼊,U+2F0A,入,U+5165,,N/A
12,⼋,U+2F0B,八,U+516B,,N/A
13,⼌,U+2F0C,冂,U+5182,⺆,U+2E86
14,⼍,U+2F0D,冖,U+5196,,N/A
15,⼎,U+2F0E,冫,U+51AB,,N/A
16,⼏,U+2F0F,𠘨,U+20628,⺇,U+2E87
17,⼐,U+2F10,凵,U+51F5,,N/A
18,⼑,U+2F11,刀,U+5200,⺈,U+2E88
19,⼒,U+2F12,力,U+529B,,N/A
20,⼓,U+2F13,勹,U+52F9,,N/A
21,⼔,U+2F14,匕,U+5315,,N/A
22,⼕,U+2F15,匚,U+531A,,N/A
23,⼖,U+2F16,匸,U+5338,,N/A
24,⼗,U+2F17,十,U+5341,,N/A
25,⼘,U+2F18,卜,U+535C,⺊,U+2E8A
26,⼙,U+2F19,卩,U+5369,,N/A
27,⼚,U+2F1A,厂,U+5382,⺁,U+2E81
28,⼛,U+2F1B,厶,U+53B6,,N/A
29,⼜,U+2F1C,又,U+53C8,,N/A
30,⼝,U+2F1D,口,U+53E3,,N/A
31,⼞,U+2F1E,囗,U+56D7,,N/A
32,⼟,U+2F1F,土,U+571F,,N/A
33,⼠,U+2F20,士,U+58EB,,N/A
34,⼡,U+2F21,夂,U+5902,,N/A
35,⼢,U+2F22,夊,U+590A,,N/A
36,⼣,U+2F23,夕,U+5915,,N/A
37,⼤,U+2F24,大,U+5927,,N/A
38,⼥,U+2F25,女,U+5973,,N/A
39,⼦,U+2F26,子,U+5B50,,N/A
40,⼧,U+2F27,宀,U+5B80,,N/A
41,⼨,U+2F28,寸,U+5BF8,,N/A
42,⼩,U+2F29,小,U+5C0F,⺌,U+2E8C
43,⼪,U+2F2A,尢,U+5C22,⺐,U+2E90
44,⼫,U+2F2B,尸,U+5C38,,N/A
45,⼬,U+2F2C,屮,U+5C6E,,N/A
46,⼭,U+2F2D,山,U+5C71,,N/A
47,⼮,U+2F2E,巛,U+5DDB,,N/A
48,⼯,U+2F2F,工,U+5DE5,,N/A
49,⼰,U+2F30,巳,U+5DF3,⺒,U+2E92
50,⼱,U+2F31,巾,U+5DFE,,N/A
51,⼲,U+2F32,干,U+5E72,,N/A
52,⼳,U+2F33,幺,U+5E7A,⺓,U+2E93
53,⼴,U+2F34,广,U+5E7F,,N/A
54,⼵,U+2F35,廴,U+5EF4,,N/A
55,⼶,U+2F36,廾,U+5EFE,,N/A
56,⼷,U+2F37,弋,U+5F0B,,N/A
57,⼸,U+2F38,弓,U+5F13,,N/A
58,⼹,U+2F39,彑,U+5F51,⺔,U+2E94
59,⼺,U+2F3A,彡,U+5F61,,N/A
60,⼻,U+2F3B,彳,U+5F73,,N/A
61,⼼,U+2F3C,心,U+5FC3,⺗,U+2E97
62,⼽,U+2F3D,戈,U+6208,,N/A
63,⼾,U+2F3E,戶,U+6236,,N/A
64,⼿,U+2F3F,扌,U+624C,⺘,U+2E98
65,⽀,U+2F40,支,U+652F,,N/A
66,⽁,U+2F41,攵,U+6535,⺙,U+2E99
67,⽂,U+2F42,斉,U+6589,⻫,U+2EEB
68,⽃,U+2F43,斗,U+6597,,N/A
69,⽄,U+2F44,斤,U+65A4,,N/A
70,⽅,U+2F45,方,U+65B9,,N/A
71,⽆,U+2F46,无,U+65E0,,N/A
72,⽇,U+2F47,日,U+65E5,⺜,U+2E9C
73,⽈,U+2F48,曰,U+66F0,,N/A
74,⽉,U+2F49,月,U+6708,⺝,U+2E9D
75,⽊,U+2F4A,木,U+6728,,N/A
76,⽋,U+2F4B,欠,U+6B20,,N/A
77,⽌,U+2F4C,歯,U+6B6F,⻭,U+2EED
78,⽍,U+2F4D,歹,U+6B79,,N/A
79,⽎,U+2F4E,殳,U+6BB3,,N/A
80,⽏,U+2F4F,毋,U+6BCB,,N/A
81,⽐,U+2F50,比,U+6BD4,,N/A
82,⽑,U+2F51,毛,U+6BDB,,N/A
83,⽒,U+2F52,氏,U+6C0F,,N/A
84,⽓,U+2F53,气,U+6C14,,N/A
85,⽔,U+2F54,氵,U+6C35,⺡,U+2EA1
86,⽕,U+2F55,灬,U+706C,⺣,U+2EA3
87,⽖,U+2F56,爫,U+722B,⺤,U+2EA4
88,⽗,U+2F57,父,U+7236,,N/A
89,⽘,U+2F58,爻,U+723B,,N/A
90,⽙,U+2F59,丬,U+4E2C,⺦,U+2EA6
91,⽚,U+2F5A,片,U+7247,,N/A
92,⽛,U+2F5B,牙,U+7259,,N/A
93,⽜,U+2F5C,牛,U+725B,⺧,U+2EA7
94,⽝,U+2F5D,犭,U+72AD,⺨,U+2EA8
95,⽞,U+2F5E,玄,U+7384,,N/A
96,⽟,U+2F5F,玉,U+7389,,N/A
97,⽠,U+2F60,瓜,U+74DC,,N/A
98,⽡,U+2F61,瓦,U+74E6,,N/A
99,⽢,U+2F62,甘,U+7518,,N/A
100,⽣,U+2F63,生,U+751F,,N/A
101,⽤,U+2F64,用,U+7528,,N/A
102,⽥,U+2F65,田,U+7530,,N/A
103,⽦,U+2F66,𤴔,U+24D14,⺪,U+2EAA
104,⽧,U+2F67,疒,U+7592,,N/A
105,⽨,U+2F68,癶,U+7676,,N/A
106,⽩,U+2F69,白,U+767D,,N/A
107,⽪,U+2F6A,皮,U+76AE,,N/A
108,⽫,U+2F6B,皿,U+76BF,,N/A
109,⽬,U+2F6C,目,U+76EE,⺫,U+2EAB
110,⽭,U+2F6D,矛,U+77DB,,N/A
111,⽮,U+2F6E,矢,U+77E2,,N/A
112,⽯,U+2F6F,石,U+77F3,,N/A
113,⽰,U+2F70,示,U+793A,⺬,U+2EAC
114,⽱,U+2F71,禸,U+79B8,,N/A
115,⽲,U+2F72,禾,U+79BE,,N/A
116,⽳,U+2F73,穴,U+7A74,,N/A
117,⽴,U+2F74,竜,U+7ADC,⻯,U+2EEF
118,⽵,U+2F75,𥫗,U+25AD7,⺮,U+2EAE
