MJ文字図形名	対応するUCS(参考)	総画数	読み(参考)
MJ000007	U+3404	3	カ・ケ・クワ
MJ000008	U+3404	4	カ・ケ
MJ000023	U+342A	5	ガイ・い
MJ000028	U+342E	13	ジョウ・はらう
MJ000029	U+342E	13	ジョウ・ショウ・はらう・わりこむ・のぼる・たかい・ゆずる
MJ000037	U+3436	5	
MJ000045	U+3441	7	シュツ・シュチ・チュツ・チュチ
MJ000047	U+3442	7	ホウ
MJ000073	U+3464	11	ボウ
MJ000106	U+348A	16	シュウ
MJ000130	U+34A7	21	レイ
MJ000143	U+34B8	9	スイ・ズイ
MJ000146	U+34B9	20	テン
MJ000157	U+34C3	12	タ・ツ・テ・ト・おく
MJ000176	U+34D7	14	ケツ
MJ000183	U+34DE	6	カツ・カチ・ケイ
MJ000184	U+34DE	6	カツ・ケイ
MJ000207	U+34F5	11	ガク
MJ000209	U+34F6	11	ケツ・ケチ・きざむ
MJ000241	U+351C	9	ホツ
MJ000264	U+3530	7	コウ
MJ000267	U+3531	10	ユ・くら
MJ000270	U+3534	14	ヨク・ヨキ
MJ000277	U+353A	5	セイ・セ・よ
MJ000278	U+353A	6	セイ・セ・よ
MJ000302	U+3553	16	テン・デン
MJ000309	U+355B	4	ユウ
MJ000311	U+355C	6	シ・ふみ
MJ000318	U+3561	14	カク・ガク
MJ000333	U+356F	7	セツ・トツ・ドツ・ナチ・どもる
MJ000380	U+35B6	12	エツ
MJ000406	U+35D4	13	ケン
MJ000409	U+35D6	13	タン・ダン・くう・くらわす
MJ000432	U+35F4	15	ガン・ゲン
MJ000436	U+35FB	15	カ
MJ000463	U+361D	5	ジュ・シュウ・とらえる
MJ000486	U+3634	8	ザ・すわる・そぞろに・おわす
MJ000500	U+3644	10	ヒ・ビ・ヘイ・ベイ・きざはし
MJ000520	U+365B	13	ホ・フ
MJ000557	U+3687	9	ソウ・ス・バン・マン
MJ000559	U+3689	8	コ・ク
MJ000567	U+3691	6	レイ
MJ000583	U+36A2	5	ブ
MJ000649	U+36EE	12	ソウ・あによめ
MJ000661	U+36FA	12	むかいめ
MJ000664	U+36FC	13	ソウ
MJ000712	U+3732	19	エイ・ヨウ
MJ000778	U+3778	10	ヘン・ベン
MJ000835	U+37B7	7	コウ・オウ
MJ000860	U+37D0	10	ボウ・モウ
MJ000874	U+37DF	12	
MJ000880	U+37E7	12	ガク
MJ000911	U+3809	15	トウ・ズ
MJ000923	U+3815	16	イ
MJ000927	U+3817	15	オウ
MJ000944	U+382F	5	イ
MJ000946	U+382F	5	イ
