Hex	Decimal
U+0009	9
U+0020	32
U+00A0	160
U+00AD	173
U+034F	847
U+061C	1564
U+115F	4447
U+1160	4448
U+17B4	6068
U+17B5	6069
U+180E	6158
U+2000	8192
U+2001	8193
U+2002	8194
U+2003	8195
U+2004	8196
U+2005	8197
U+2006	8198
U+2007	8199
U+2008	8200
U+2009	8201
U+200A	8202
U+200B	8203
U+200C	8204
U+200D	8205
U+200E	8206
U+200F	8207
U+202F	8239
U+205F	8287
U+2060	8288
U+2061	8289
U+2062	8290
U+2063	8291
U+2064	8292
U+206A	8298
U+206B	8299
U+206C	8300
U+206D	8301
U+206E	8302
U+206F	8303
U+2800	10240
U+3000	12288
U+3164	12644
U+FEFF	65279
U+FFA0	65440
U+1D159	119129
U+1D173	119155
U+1D174	119156
U+1D175	119157
U+1D176	119158
U+1D177	119159
U+1D178	119160
U+1D179	119161
U+1D17A	119162
